"","word","freq"
"63786","the",41291
"64801","to",27076
"2802","and",22686
"1","a",22657
"44818","of",19433
"31839","in",15173
"31184","I",14996
"24567","for",10439
"33159","is",10391
"63735","that",9863
"71906","you",8164
"33283","it",7651
"45154","on",7632
"70631","with",6865
"69163","was",6099
"6333","be",5412
"4528","at",5342
"63787","The",5178
"42563","my",5067
"28945","have",4970
"3749","are",4679
"64142","this",4442
"4113","as",4371
"44127","not",3693
"25279","from",3600
"9804","but",3450
"39834","me",3385
"29060","he",3093
"55098","said",2987
"70340","will",2967
"9902","by",2945
"45520","or",2928
"58974","so",2912
"2094","all",2896
"71975","your",2886
"45846","out",2843
"2726","an",2823
"274","about",2798
"69393","we",2787
"29970","his",2782
"67444","up",2741
"28842","has",2636
"34384","just",2539
"37053","like",2524
"45196","one",2484
"63995","they",2427
"10276","can",2352
"70119","who",2350
"41818","more",2235
"18766","do",2221
"28239","had",2221
"33361","its",2163
"26338","get",2112
"69868","what",2073
"64593","time",2059
"69938","when",2037
"71090","would",1960
"63835","their",1950
"29511","her",1938
"69768","were",1921
"31392","if",1839
"6559","been",1831
"31581","Im",1819
"59203","some",1814
"63921","there",1653
"45834","our",1633
"63844","them",1558
"3","‚",1526
"35319","know",1492
"47463","people",1464
"27028","good",1455
"16477","day",1444
"43770","no",1409
"43347","new",1382
"57194","she",1381
"44271","now",1380
"33284","It",1379
"63690","than",1370
"32856","into",1337
"30740","how",1327
"56364","see",1322
"69981","which",1288
"5446","back",1283
"37942","love",1244
"9805","But",1216
"38647","make",1210
"19032","dont",1208
"45789","other",1204
"29061","He",1202
"2339","also",1178
"64082","think",1173
"69394","We",1167
"26933","going",1163
"46017","over",1159
"42235","much",1158
"45284","only",1157
"23857","first",1155
"26823","go",1148
"2803","And",1145
"2","A",1135
"29874","him",1128
"36058","last",1118
"31183","i",1093
"14841","could",1088
"70937","work",1071
"51970","really",1068
"69350","way",1059
"66470","two",1053
"27178","got",1051
"31840","In",1047
"65038","too",1047
"1331","after",1041
"67626","us",1034
"6473","because",1030
"71694","year",1028
"71908","You",1020
"2432","am",1016
"63864","then",1009
"69045","want",1009
"69653","well",1002
"44828","off",989
"71719","years",984
"31393","If",974
"27536","great",950
"21871","even",948
"64143","This",944
"43088","need",940
"64830","today",904
"33362","Its",895
"53870","right",889
"60887","still",888
"54671","RT",884
"17928","did",881
"3218","any",873
"68221","very",851
"29538","here",846
"19218","down",838
"6595","before",830
"41959","most",829
"58975","So",822
"38404","made",812
"38984","many",806
"55610","say",804
"6682","being",800
"62746","take",799
"37359","little",794
"64350","through",789
"69955","where",784
"57561","should",770
"43330","never",766
"36945","life",746
"69537","week",734
"30248","home",729
"64061","things",728
"43582","night",722
"64206","those",719
"42564","My",706
"43431","next",706
"13346","come",705
"63969","these",681
"3953","around",676
"66600","u",672
"69869","What",669
"6960","best",667
"63996","They",666
"7017","better",659
"59242","something",643
"69991","while",637
"25800","game",628
"2415","always",626
"10390","cant",592
"55836","school",580
"63711","Thanks",575
"69939","When",571
"55267","same",570
"3060","another",568
"23473","few",561
"21930","every",559
"43348","New",556
"57601","show",548
"23272","feel",547
"39598","may",545
"37684","long",544
"64050","thing",532
"43771","No",530
"1371","again",527
"62109","sure",526
"46197","own",525
"29428","help",524
"67661","use",522
"64264","three",520
"37749","look",516
"37877","lot",514
"58023","since",514
"71014","world",506
"70186","why",499
"38782","man",498
"67666","used",493
"34386","Just",491
"63736","That",488
"61722","such",486
"16511","days",485
"55629","says",483
"57195","She",483
"21899","ever",472
"23730","find",471
"17940","didnt",467
"18844","does",467
"63667","th",464
"63163","team",460
"48575","play",459
"37624","lol",457
"71979","youre",454
"7164","big",452
"63922","There",451
"26593","give",450
"46776","part",450
"65003","tonight",449
"8397","both",448
"33404","Ive",447
"36482","left",447
"48444","place",447
"63767","thats",447
"4114","As",446
"5179","away",446
"20013","each",446
"67388","until",441
"40728","might",440
"21051","end",439
"64214","though",437
"26363","getting",436
"48752","pm",435
"18998","done",434
"34715","keep",434
"41870","morning",432
"18895","doing",428
"24568","For",426
"22829","family",425
"45035","old",425
"50949","put",421
"56228","season",421
"64222","thought",420
"25219","friends",415
"60550","state",413
"8198","book",410
"24436","follow",410
"64909","told",407
"60510","start",406
"21241","enough",405
"69758","went",405
"30452","hope",400
"1380","against",397
"19880","during",396
"24809","found",394
"25491","fun",393
"63710","thanks",391
"31508","Ill",390
"10206","came",386
"36723","let",386
"63360","tell",385
"13402","coming",382
"70657","without",382
"5549","bad",378
"38678","making",378
"21950","everyone",377
"56858","set",375
"30741","How",373
"49877","pretty",371
"28698","hard",369
"33982","job",368
"37758","looking",367
"17991","different",366
"41610","money",364
"38667","makes",360
"10137","called",356
"67628","US",356
"69547","weekend",355
"2323","already",353
"10128","call",352
"47523","percent",352
"45197","One",351
"22929","far",350
"30685","house",349
"70970","working",349
"40855","million",348
"45155","On",346
"54812","run",346
"28967","having",345
"66049","try",344
"36411","least",343
"64624","times",343
"7034","between",341
"37377","live",341
"65049","took",341
"68887","wait",341
"56279","second",338
"64886","together",338
"42501","must",337
"26864","God",335
"51932","real",334
"66057","trying",334
"59221","someone",332
"61101","story",332
"70411","win",332
"1481","ago",329
"48828","point",329
"69051","wanted",326
"59340","soon",325
"7384","bit",324
"25039","free",323
"51884","read",323
"66904","under",323
"3248","anything",321
"31207","I‚m",321
"71802","yet",319
"24506","food",316
"29734","high",316
"44272","Now",315
"4529","At",314
"20046","early",314
"36101","later",313
"42468","music",313
"24832","four",308
"12394","city",306
"25179","Friday",306
"64802","To",306
"54953","s",305
"64966","tomorrow",305
"29063","head",304
"9756","business",303
"235","able",301
"60279","St",301
"18984","don‚t",300
"21962","everything",300
"28657","happy",300
"28658","Happy",298
"46921","past",298
"54445","room",298
"6723","believe",297
"16073","D",296
"34992","kids",296
"18851","doesnt",294
"43491","nice",294
"58661","small",294
"62795","talk",294
"50685","public",293
"42714","name",292
"741","actually",290
"42595","myself",290
"11443","change",289
"41704","month",289
"41049","minutes",288
"28161","guys",287
"61034","stop",287
"2095","All",286
"31306","idea",286
"39859","mean",286
"44164","nothing",286
"47687","person",286
"60513","started",286
"69567","weeks",286
"36694","less",284
"63698","Thank",284
"45171","once",283
"2266","along",282
"44128","Not",282
"51916","ready",282
"14980","course",280
"16478","Day",279
"63768","Thats",279
"69266","water",279
"10809","case",276
"1332","After",275
"45360","open",275
"35066","kind",272
"56399","seen",272
"31580","im",271
"25202","friend",270
"30676","hours",270
"11920","children",269
"29172","hear",269
"31938","including",269
"48891","police",269
"55598","saw",268
"10590","care",266
"30006","hit",266
"65082","top",265
"13367","comes",264
"27029","Good",264
"13569","company",259
"33307","it‚s",259
"45796","others",259
"24780","forward",258
"48483","plan",258
"57797","side",258
"11666","check",257
"26554","girl",257
"50090","probably",257
"69654","Well",255
"5203","awesome",254
"2248","almost",253
"67693","using",253
"25825","games",251
"40904","mind",250
"48652","please",250
"44947","Oh",249
"10503","car",246
"27820","group",246
"42117","movie",246
"2569","American",245
"6499","become",245
"25451","full",245
"36086","late",245
"44386","number",244
"48613","playing",244
"41152","miss",243
"41712","months",243
"47119","pay",243
"62066","support",243
"69234","watch",243
"37168","line",242
"39599","May",242
"70187","Why",242
"71951","young",242
"2487","amazing",239
"4245","asked",238
"22593","face",237
"23118","favorite",237
"28376","half",237
"29635","hes",236
"49225","post",236
"12496","class",235
"23953","five",235
"37943","Love",235
"14943","County",234
"33160","Is",234
"3239","anyone",233
"29971","His",233
"3752","area",232
"42104","move",232
"65982","true",232
"37765","looks",231
"70138","whole",231
"44932","often",230
"12395","City",229
"55522","Saturday",229
"56922","several",229
"60551","State",229
"70778","women",229
"6445","beautiful",228
"31301","Id",228
"46838","party",228
"43109","needs",227
"70632","With",227
"61440","students",225
"22644","fact",224
"37871","lost",224
"61471","stuff",224
"69256","watching",224
"36415","leave",223
"62770","taking",223
"44870","office",222
"28154","guy",221
"47963","phone",220
"20763","else",219
"27537","Great",219
"29186","heart",219
"7729","blog",218
"31756","important",218
"14490","cool",217
"15952","cut",217
"24461","following",217
"53384","rest",217
"55617","saying",217
"64095","thinking",217
"56778","series",216
"70923","words",216
"19033","Dont",214
"24719","former",214
"28946","Have",214
"6661","behind",213
"61860","summer",213
"70600","wish",213
"71222","wrong",213
"4240","ask",212
"9868","buy",212
"33230","isnt",212
"34028","John",212
"37517","local",212
"12758","close",211
"27231","government",211
"61905","Sunday",211
"50102","problem",209
"66134","Tuesday",209
"3590","April",208
"37296","list",208
"45964","outside",208
"56397","seems",208
"492","according",207
"22122","excited",207
"26356","gets",207
"41540","moment",207
"59714","special",207
"71773","yes",207
"27019","gonna",206
"70820","wont",206
"28886","hate",205
"40155","members",205
"62811","talking",205
"29174","heard",204
"63865","Then",204
"59296","song",202
"63697","thank",202
"69206","wasnt",202
"69975","whether",202
"36209","law",201
"40028","meet",201
"41590","Monday",201
"60638","stay",201
"9031","bring",200
"35264","knew",200
"49398","power",199
"51258","quite",199
"57116","share",199
"25295","front",198
"59820","spent",198
"71774","Yes",198
"66962","understand",197
"70766","woman",197
"18767","Do",196
"70903","word",196
"23281","feeling",195
"28278","haha",195
"48588","played",195
"54833","running",195
"16645","deal",194
"25634","future",194
"42169","Mr",194
"51159","question",194
"52903","remember",193
"58486","sleep",192
"29143","health",191
"70791","won",191
"70068","white",190
"45569","order",189
"48847","points",189
"51732","rather",189
"52012","reason",189
"56833","service",189
"14955","couple",188
"30671","hour",188
"37008","light",188
"39508","matter",187
"55308","San",187
"13537","community",186
"59204","Some",186
"20529","either",185
"37408","living",185
"39879","means",185
"40199","men",185
"62599","system",185
"68340","video",185
"21885","event",184
"26911","goes",184
"43094","needed",184
"22310","experience",183
"66233","turn",183
"5032","available",182
"32264","information",182
"48594","players",182
"8010","body",181
"30453","Hope",181
"40034","meeting",181
"62754","taken",181
"812","add",180
"8224","books",180
"71882","York",180
"23338","felt",179
"57509","short",179
"20141","easy",178
"22781","fall",178
"30686","House",178
"64422","Thursday",178
"28512","hand",177
"65802","tried",177
"5408","baby",176
"11013","cause",176
"26602","given",176
"47560","perfect",176
"50239","program",176
"62765","takes",176
"71078","worth",176
"14926","country",175
"37398","lives",175
"39608","maybe",175
"51905","reading",175
"52225","record",175
"69061","wants",175
"16683","death",174
"16780","decided",174
"668","across",173
"7465","black",172
"43030","near",172
"43392","news",172
"58062","single",172
"68816","w",172
"71214","writing",172
"26570","girls",170
"28331","hair",170
"31220","I‚ve",170
"69769","Were",170
"36323","lead",168
"46681","parents",168
"33309","It‚s",167
"35996","large",167
"45835","Our",167
"818","added",166
"44559","Obama",166
"63950","theres",166
"50277","project",165
"53109","report",165
"70801","wonderful",165
"28630","happened",164
"36382","learn",164
"69992","While",164
"30626","hot",163
"59588","space",163
"66433","twitter",163
"11421","chance",162
"60523","starting",162
"12899","coach",161
"44946","oh",161
"30152","hold",160
"32562","instead",160
"37754","looked",160
"49217","possible",160
"70653","within",160
"71976","Your",160
"12179","Christmas",159
"20794","email",159
"57548","shot",159
"63789","THE",159
"68554","visit",159
"68741","vote",159
"11905","child",158
"21202","enjoy",158
